Date,Species_ID,Field_Site,Event,Event_True,Time_Point,Acclimation_Period,Treatment,Bucket,Base_Width,Base_Length,Base_Diagonal,Fv_Fm_1,Fv_Fm_2,Fv_Fm_3,Nb_tentacles,Weight_Total_g,Weight_Tube_g,Weight_Tentacle_g,Green_cells,Dino_cells,MI_green,MI_dino,Feeding_Time_Min,Feeding_Time,Feeding_Start,Feeding_Stop,Photo_ID,Removed
10/21/2021,G1F,Foreshore,Acclimation,,,,30C,E,48.7,74.4,68,,,,,,,0,,,,,,,,,IMG_6060,
10/21/2021,G2F,Foreshore,Acclimation,,,,25C,C,71.6,61.4,63,,,,,,,0,,,,,,,,,IMG_6068,
10/21/2021,G3F,Foreshore,Acclimation,,,,30C,H,34.4,62.9,50.7,,,,,,,0,,,,,,,,,IMG_6074,
10/21/2021,G4F,Foreshore,Acclimation,,,,25C,D,70.5,67.6,74.5,,,,,,,0,,,,,,,,,IMG_6084,
10/21/2021,G5F,Foreshore,Acclimation,,,,25C,B,57.6,63.6,58,,,,,,,0,,,,,,,,,IMG_6058,
10/22/2021,G6F,Foreshore,Acclimation,,,,Control,L,64.7,89.9,92,,,,,,,0,,,,,,,,,IMG_6055,
10/22/2021,G7F,Foreshore,Acclimation,,,,Control,I,61.3,43.1,57,,,,,,,0,,,,,,,,,IMG_6093,
10/22/2021,G8F,Foreshore,Acclimation,,,,Control,L,71.7,40.2,67,,,,,,,0,,,,,,,,,IMG_6062,
10/22/2021,G9F,Foreshore,Acclimation,,,,25C,C,48.8,68,62.1,,,,,,,0,,,,,,,,,IMG_6076,
10/22/2021,G10F,Foreshore,Acclimation,,,,Control,K,62.6,76.8,70.2,,,,,,,0,,,,,,,,,IMG_6080,
10/22/2021,G11F,Foreshore,Acclimation,,,,30C,H,71.2,63,66.2,,,,,,,0,,,,,,,,,IMG_6091,
10/22/2021,G12F,Foreshore,Acclimation,,,,Control,K,65.7,60.7,84.9,,,,,,,0,,,,,,,,,IMG_6108,
10/22/2021,G13F,Foreshore,Acclimation,,,,30C,H,64.3,53.6,50.9,,,,,,,0,,,,,,,,,IMG_6066,
10/22/2021,G14F,Foreshore,Acclimation,,,,25C,A,50.8,62.7,68,,,,,,,0,,,,,,,,,IMG_6070,
10/23/2021,G15S,Scotts,Acclimation,,,,30C,E,54.8,65.8,58.5,,,,,,,0,,,,,,,,,IMG_6078,
10/23/2021,G16S,Scotts,Acclimation,,,,Control,J,40.4,45.3,50,,,,,,,0,,,,,,,,,IMG_6088,
10/23/2021,G17S,Scotts,Acclimation,,,,Control,I,38.8,44.3,44,,,,,,,0,,,,,,,,,IMG_6086,
10/23/2021,G18S,Scotts,Acclimation,,,,30C,G,54.2,42.5,49.7,,,,,,,0,,,,,,,,,IMG_6077,
10/23/2021,G19S,Scotts,Acclimation,,,,30C,F,61.7,59.8,64.6,,,,,,,0,,,,,,,,,IMG_6083,
10/23/2021,G20S,Scotts,Acclimation,,,,Control,K,34,48.5,37.2,,,,,,,0,,,,,,,,,IMG_6072,
10/23/2021,G21S,Scotts,Acclimation,,,,25C,A,52.4,42.1,42.2,,,,,,,0,,,,,,,,,IMG_6081,
10/23/2021,G22S,Scotts,Acclimation,,,,25C,D,62.7,42.8,45.5,,,,,,,0,,,,,,,,,IMG_6059,
10/23/2021,G23S,Scotts,Acclimation,,,,25C,B,57.2,37.7,65.4,,,,,,,0,,,,,,,,,IMG_6064,
